Designator,Mid X,Mid Y,Rotation,Layer
C1,157.0,-81.5,270.0,top
C10,162.75,-81.76,90.0,top
C11,160.75,-81.75,90.0,top
C12,171.5,-65.001,180.0,top
C14,155.75,-81.5,270.0,top
C15,160.25,-78.75,180.0,top
C16,160.25,-77.5,180.0,top
C17,156.5,-75.23,270.0,top
C18,160.25,-76.25,180.0,top
C2,158.5,-81.75,270.0,top
C3,179.77,-65.751,180.0,top
C4,171.52,-63.501,180.0,top
C5,179.625,-81.576,270.0,top
C6,181.5,-81.576,270.0,top
C7,166.75,-81.725,270.0,top
C8,172.25,-79.351,180.0,top
C9,164.75,-81.75,90.0,top
D1,179.9275,-78.001,0.0,top
D2,179.9275,-69.501,0.0,top
J1,162.25,-67.0,0.0,top
J2,162.41,-85.95,270.0,bottom
J4,162.41,-61.23,270.0,bottom
J5,188.45,-73.991,90.0,top
L1,176.285,-83.601,0.0,top
Q1,165.26,-76.551,180.0,top
Q2,165.26,-72.301,180.0,top
R1,170.24,-81.351,180.0,top
R10,180.5,-72.011,90.0,top
R11,156.25,-79.5,180.0,top
R12,167.77,-76.751,270.0,top
R13,167.77,-72.501,90.0,top
R14,156.25,-78.25,180.0,top
R15,156.25,-77.0,180.0,top
R2,172.25,-81.351,0.0,top
R3,170.24,-82.601,180.0,top
R4,179.75,-63.75,0.0,top
R5,178.75,-68.251,180.0,top
R6,179.75,-64.75,180.0,top
R7,172.0,-66.751,90.0,top
R8,170.75,-66.751,90.0,top
R9,180.5,-75.501,270.0,top
U1,176.06,-65.8135,270.0,top
U2,141.01,-73.64,90.0,top
U3,176.25,-80.561,180.0,top
U4,173.77,-73.791,270.0,top
U5,159.75,-72.5,270.0,top
